Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
HOME CREDIT,logit,LIME,M5,31,0.29753558652102946,0.023251747108995916,0.07489849796284398,0.2321768090319674,True
HOME CREDIT,logit,LIME,M5,42,0.3038624667078257,0.015487532578408719,0.11332832533591136,0.17890622969121614,True
HOME CREDIT,logit,LIME,M5,52,0.31278060233592986,0.0007817154824733734,0.1536038738037223,0.1339923208496948,True
HOME CREDIT,norm,SHAP,M1,10,0.7101353478555966,0.2581733962174459,0.04506833999629002,0.9263801428435618,True
HOME CREDIT,norm,SHAP,M1,21,0.8693682142612349,0.03490586010462274,0.11556153358797944,0.8086382883731118,True
HOME CREDIT,norm,SHAP,M1,31,0.9500362480415542,-0.03292094529061707,0.2187481788775693,0.6985989996775692,True
HOME CREDIT,norm,SHAP,M1,42,0.9740461537099475,-0.04587218241231004,0.3384994898467655,0.5725026881336817,True
HOME CREDIT,norm,SHAP,M1,52,1.0049746851126025,-0.028936634617735026,0.4821624437838829,0.4671285141304321,True
HOME CREDIT,norm,SHAP,M2,10,0.8589626758638056,0.0874003140692397,0.02187859927223846,0.9207023483825948,True
HOME CREDIT,norm,SHAP,M2,21,0.8933122453231451,0.031121810265030483,0.08724656021382897,0.8043951132210121,True
HOME CREDIT,norm,SHAP,M2,31,0.9483277422632963,-0.009705568840457993,0.18429226997159565,0.6838102502263532,True
HOME CREDIT,norm,SHAP,M2,42,0.9794035415177911,0.004432982429291624,0.3024064294708548,0.5589946692836754,True
HOME CREDIT,norm,SHAP,M2,52,0.9602966838904264,0.013586024445861884,0.41729833954268436,0.43351036532740345,True
HOME CREDIT,norm,SHAP,M3,10,0.8589626758638056,0.0874003140692397,0.02187859927223846,0.9207023483825948,True
HOME CREDIT,norm,SHAP,M3,21,0.8933122453231451,0.031121810265030483,0.08724656021382897,0.8043951132210121,True
HOME CREDIT,norm,SHAP,M3,31,0.9483277422632963,-0.009705568840457993,0.18429226997159565,0.6838102502263532,True
HOME CREDIT,norm,SHAP,M3,42,0.9794035415177911,0.004432982429291624,0.3024064294708548,0.5589946692836754,True
HOME CREDIT,norm,SHAP,M3,52,0.9602966838904264,0.013586024445861884,0.41729833954268436,0.43351036532740345,True
HOME CREDIT,norm,SHAP,M4,10,0.9307240609740217,0.10667678831336089,0.05361094962917899,0.9109010995106926,True
HOME CREDIT,norm,SHAP,M4,21,0.9272611222575108,0.06461919520871404,0.11834402218662048,0.8132469045789291,True
HOME CREDIT,norm,SHAP,M4,31,0.9958559422583009,0.02041502139243142,0.2120621565026231,0.7037966017873337,True
HOME CREDIT,norm,SHAP,M4,42,0.9936215227768407,0.04244186480564531,0.3219724816210878,0.5760577193142226,True
HOME CREDIT,norm,SHAP,M4,52,0.9943673953562936,0.04496497803739185,0.42538271196695665,0.48022569948739063,True
HOME CREDIT,norm,SHAP,M5,10,0.876299564188911,0.22469130025633507,0.06997429907693932,0.9383517431560904,True
