Dataset,Model,Method,Variant,N,N_valid,rho_raw,p_raw,rho_partial,p_partial,rho_partial_linear,p_partial_linear,rho_aleatoric,p_aleatoric,shrinkage_pct,Degenerate,p_partial_FDR,Sig_partial_FDR,p_partial_linear_FDR,Sig_partial_linear_FDR
HOME CREDIT,M4,SHAP,prob,2000,2000,0.48614097696754716,3.847855745544847e-119,-0.010069609017402255,0.6781072975674776,-0.03577447235831229,0.10982185328053827,0.7617192759654637,0.0,97.92866483294321,False,0.8322225924691771,False,0.2578426120499594,False
HOME CREDIT,M4,LIME,prob,2000,2000,0.4699130539782635,2.1179953360705245e-110,0.0487755511938878,0.033988670443185605,0.0036533319173184886,0.8703298701997103,0.7077574319393579,7.464098404296816e-304,89.62030299414836,False,0.11471176274575141,False,0.8752962731033388,False
HOME CREDIT,M4,SHAP,logit,2000,2000,0.4725296906324226,8.876130707669183e-112,-0.004070263017565755,0.8560479840053316,-0.019250677277428577,0.3896553524993767,0.7297941369485341,0.0,99.13862280016347,False,0.9630539820059979,False,0.6376178495444347,False
HOME CREDIT,M4,LIME,logit,2000,2000,0.4663325305831327,1.5552891135182892e-108,0.05291409722852431,0.020993002332555816,0.03125568134895922,0.1624393567875141,0.6792328008082001,9.74711766979354e-271,88.65314046130193,False,0.07557480839720095,False,0.3373740487125293,False
HOME CREDIT,M4,SHAP,norm,2000,1875,-0.008130509519789374,0.7249639399241852,0.002859201780395173,0.9026991002999001,-0.0107686748293949,0.6413046905868158,8.313972142640965e-06,0.9997129486867787,64.83367034457095,False,0.967089401572025,False,0.824534602183049,False
HOME CREDIT,M4,LIME,norm,2000,1875,0.08787284556027607,0.0001390568163924315,0.04766535488436761,0.03865378207264245,0.033519796792978854,0.14691856135802334,0.09577714658905503,3.2662887757325056e-05,45.75644548614085,False,0.12278260187780543,False,0.3173440925333304,False
HOME CREDIT,M5,SHAP,prob,2000,2000,0.4167588096897024,7.205125537356479e-85,-0.028180762045190513,0.21059646784405198,-0.08666017146480463,0.00010468510352878218,0.7592707163176791,0.0,93.23811245497787,False,0.4061503308421002,False,0.0011305991181108474,True
HOME CREDIT,M5,LIME,prob,2000,2000,0.4230269227567306,1.1981906905575478e-87,0.05669111467277866,0.015661446184605132,-0.034593088696329106,0.12206630155236124,0.7264063231015807,0.0,86.5986981860774,False,0.0704765078307231,False,0.2746491784928128,False
HOME CREDIT,M5,SHAP,logit,2000,2000,0.42289130622282656,1.3781010284875616e-87,-0.02416883404220851,0.2805731422859047,-0.04254840837636985,0.05716875842758926,0.7335301848825462,0.0,94.28485909107962,False,0.4591196873769349,False,0.154355647754491,False
HOME CREDIT,M5,LIME,logit,2000,2000,0.4332856878214219,2.5184141611145792e-92,0.05577140894285224,0.01899366877707431,0.01984586207827068,0.3751627054634547,0.6936230259057564,5.861784801821085e-287,87.12825959627858,False,0.07326129385442948,False,0.6330870654695798,False
HOME CREDIT,M5,SHAP,norm,2000,1880,-0.05547702946011712,0.016142416399252634,-0.020003037261389283,0.38253915361546154,-0.05359376036780203,0.020164342076574544,-0.020571489860507927,0.37268263687915026,63.94356825509263,False,0.5778073975341553,False,0.06805465450843909,False
HOME CREDIT,M5,LIME,norm,2000,1880,0.07375377063865436,0.00137370685189232,0.012912146193948301,0.5778073975341553,-0.015560145091223448,0.5002577069131358,0.14631173834706485,1.84117449686925e-10,82.49290025155535,False,0.8000410119703689,False,0.7667760795049671,False
TAIWAN,M2,SHAP,prob,2000,2000,,,,,,,0.7078404137255436,5.899244570250991e-304,,True,,False,,False
TAIWAN,M2,LIME,prob,2000,2000,,,,,,,0.6466081948945268,3.330773844058326e-237,,True,,False,,False
TAIWAN,M2,SHAP,logit,2000,2000,,,,,,,0.7343881028724213,0.0,,True,,False,,False
TAIWAN,M2,LIME,logit,2000,2000,,,,,,,0.6605207118778733,5.469449544880724e-251,,True,,False,,False
TAIWAN,M2,SHAP,norm,2000,1944,,,,,,,0.10186044684479958,6.797589645225457e-06,,True,,False,,False
TAIWAN,M2,LIME,norm,2000,1944,,,,,,,0.14899037095487866,4.0630476197481755e-11,,True,,False,,False
TAIWAN,M3,SHAP,prob,2000,2000,0.10290413272603319,4.000009962719435e-06,-0.06933427733356932,0.0013328890369876708,-0.07453380808035062,0.0008530712474558422,0.715807255951814,0.0,32.62245597252985,False,0.007997334221926024,True,0.005118427484735053,True
TAIWAN,M3,LIME,prob,2000,2000,0.07918748579687145,0.0003930223066243465,-0.0780557700139425,0.0006664445184938354,-0.08432521920761211,0.0001602893307274588,0.6574670003667501,6.707956743371595e-248,1.4291598875003864,False,0.005141143428381016,True,0.0014426039765471292,True
TAIWAN,M3,SHAP,logit,2000,2000,0.12807870951967737,9.032635197955047e-09,-0.06025036956259239,0.007664111962679107,-0.04738940200530865,0.03411975001733901,0.7409202487300621,0.0,52.95832555735126,False,0.03762382236224289,True,0.10599071793347144,False
TAIWAN,M3,LIME,logit,2000,2000,0.0975740223935056,1.2348128096323951e-05,-0.07128402582100644,0.0013328890369876708,-0.06413468156427472,0.004122498872063484,0.6704289746072437,2.892213242743239e-261,26.943643325960686,False,0.007997334221926024,True,0.01712422608395601,True
TAIWAN,M3,SHAP,norm,2000,1944,0.002774468917514879,0.9027009095272408,0.020678223005078225,0.36854381872709097,-0.021361594081917117,0.34664887291860863,0.10922442945211824,1.3850453797687341e-06,-645.3038264202262,False,0.5778073975341553,False,0.6330870654695798,False
